nombre,descripcion,cedis
Nuevos empresarios,Empresarios con menos de tres meses de haber ingresado,"Tlaquepaque, Patria"
Cupón todos ganan,Invitar al eO a canjear su cupón a tiempo,"Tlaquepaque, Patria"
Viaje internacional,Invitar al eO a participar en el viaje internacional,"Tlaquepaque, Patria"
